Slide,Slide tittle,Slide Subtittle,Layout,Chart Tittle,CDR source,KPI,Chart type,Legend,Filters,Grouping_Rows,Grouping_Columns
16,FDTT DL (7s),"Belfast, Bristol, Cardiff, Edinburgh, London, Leeds and Sheffield",Title and 2 columns + Comments,,CDR-Data,Mean Data Rate,Distribution Stacked Vertical Bars,,"Test Result: Completed, Test Name: FDTT http DL MT template rate buckets, Operator: Vodafone, Three, EE",Operator,Campaign
17,FDTT UL (7s),"Belfast, Bristol, Cardiff, Edinburgh, London, Leeds and Sheffield",Title and 2 columns + Comments,,CDR-Data,Mean Data Rate,CDF Line,,"Test Result: Completed, Test Name: FDTT UDP UL ST, Operator: Vodafone, Three, EE",Operator,Campaign
17,FDTT UL (7s),"Belfast, Bristol, Cardiff, Edinburgh, London, Leeds and Sheffield",Title and 2 columns + Comments,,CDR-Data,Mean Data Rate,Distribution Stacked Vertical Bars,,"Test Result: Completed, Test Name: FDTT UDP UL ST; Operator: Vodafone, Three, EE",Operator,Campaign
18,FDFS DL,"Belfast, Bristol, Cardiff, Edinburgh, London, Leeds and Sheffield",Title and 3 columns + Comments,,CDR-Data,Mean Data Rate,CDF Line,,"Test Result: Completed, Test Name: FDFS HTTP DL ST, FDFS HTTPS DL ST, Operator: Vodafone, Three, EE",Operator,Campaign
18,FDFS DL,"Belfast, Bristol, Cardiff, Edinburgh, London, Leeds and Sheffield",Title and 3 columns + Comments,,CDR-Data,Transfer Duration,CDF Line,,"Test Result: Completed, Test Name: FDFS HTTP DL ST, FDFS HTTPS DL ST, Operator: Vodafone, Three, EE",Operator,Campaign
18,FDFS DL,"Belfast, Bristol, Cardiff, Edinburgh, London, Leeds and Sheffield",Title and 3 columns + Comments,,CDR-Data,AVG(Transfer Duration),Average Vertical Bars,,"Test Result: Completed, Test Name: FDFS HTTP DL ST, FDFS HTTPS DL ST, Operator: Vodafone, Three, EE",Operator,Campaign
19,FDFS UL,"Belfast, Bristol, Cardiff, Edinburgh, London, Leeds and Sheffield",Title and 3 columns + Comments,,CDR-Data,Mean Data Rate,CDF Line,,"Test Result: Completed, Test Name: FDFS HTTP UL ST, FDFS HTTPS UL ST, Operator: Vodafone, Three, EE",Operator,Campaign
19,FDFS UL,"Belfast, Bristol, Cardiff, Edinburgh, London, Leeds and Sheffield",Title and 3 columns + Comments,,CDR-Data,Transfer Duration,CDF Line,,"Test Result: Completed, Test Name: FDFS HTTP UL ST, FDFS HTTPS UL ST, Operator: Vodafone, Three, EE",Operator,Campaign
19,FDFS UL,"Belfast, Bristol, Cardiff, Edinburgh, London, Leeds and Sheffield",Title and 3 columns + Comments,,CDR-Data,AVG(Transfer Duration),Average Vertical Bars,,"Test Result: Completed, Test Name: FDFS HTTP UL ST, FDFS HTTPS UL ST, Operator: Vodafone, Three, EE",Operator,Campaign
20,Interactivity,"Belfast, Bristol, Cardiff, Edinburgh, London, Leeds and Sheffield",Title and 2 columns and 2 rows + Comments right,,CDR-Data,Interactivity RTT Median,CDF Line,,"Test Result: Completed, Type of Test: Interactivity, Operator: Vodafone, Three, EE",Operator,Campaign
20,Interactivity,"Belfast, Bristol, Cardiff, Edinburgh, London, Leeds and Sheffield",Title and 2 columns and 2 rows + Comments right,,CDR-Data,MEDIAN(Interactivity RTT Median),Median Vertical Bars,,"Test Result: Completed, Type of Test: Interactivity, Operator: Vodafone, Three, EE",Operator,Campaign
20,Interactivity,"Belfast, Bristol, Cardiff, Edinburgh, London, Leeds and Sheffield",Title and 2 columns and 2 rows + Comments right,,CDR-Data,Packet Error Ratio,CDF Line,,"Test Result: Completed, Type of Test: Interactivity, Operator: Vodafone, Three, EE",Operator,Campaign
20,Interactivity,"Belfast, Bristol, Cardiff, Edinburgh, London, Leeds and Sheffield",Title and 2 columns and 2 rows + Comments right,,CDR-Data,AVG(Packet Error Ratio),Average Vertical Bars,,"Test Result: Completed, Type of Test: Interactivity, Operator: Vodafone, Three, EE",Operator,Campaign
21,Browsing,"Belfast, Bristol, Cardiff, Edinburgh, London, Leeds and Sheffield",Title and 2 columns + Comments,,CDR-Data,http Browser 1MB Reached Duration,CDF Line,,"Test Result: Completed, Type of Test: httpBrowser, Operator: Vodafone, Three, EE",Operator,Campaign
21,Browsing,"Belfast, Bristol, Cardiff, Edinburgh, London, Leeds and Sheffield",Title and 2 columns + Comments,,CDR-Data,AVG(http Browser 1MB Reached Duration),Average Vertical Bars,,"Test Result: Completed, Type of Test: httpBrowser, Operator: Vodafone, Three, EE",Operator,Campaign
22,Conclusions,,,,,,Preserved conclusions,,,,
